BANK_NAME,STATE,VARIABLE_NAME,VALUE,UNIT,DATE
Axos Bank,CA,Total Assets,23099500000.00000000000,USD,2025-03-31
B2 Bank National Association,MN,Total Assets,83262000.00000000000,USD,2025-03-31
BAC Community Bank,CA,Total Assets,791420000.00000000000,USD,2025-03-31
BANK,IA,Total Assets,161202000.00000000000,USD,2025-03-31
BANK360,OK,Total Assets,63858000.00000000000,USD,2025-03-31
BANKWEST,MN,Total Assets,243347000.00000000000,USD,2025-03-31
BCB Community Bank,NJ,Total Assets,3472064000.00000000000,USD,2025-03-31
"BCBank, Inc.",WV,Total Assets,223017000.00000000000,USD,2025-03-31
"BEACON BUSINESS BANK, NATIONAL ASSOCIATION",CA,Total Assets,169196000.00000000000,USD,2025-03-31
BLC Community Bank,WI,Total Assets,425583000.00000000000,USD,2025-03-31
BMO Bank National Association,IL,Total Assets,257049115000.00000000000,USD,2025-03-31
BMO Harris Central National Association,IL,Total Assets,8167000.00000000000,USD,2025-03-31
BMW Bank of North America,UT,Total Assets,12294454000.00000000000,USD,2025-03-31
BNA Bank,MS,Total Assets,794686000.00000000000,USD,2025-03-31
BNC National Bank,AZ,Total Assets,965171000.00000000000,USD,2025-03-31
BNY Mellon Trust of Delaware,DE,Total Assets,235031000.00000000000,USD,2025-03-31
"BNY Mellon, National Association",PA,Total Assets,30061000000.00000000000,USD,2025-03-31
BOC Bank,TX,Total Assets,211728000.00000000000,USD,2025-03-31
"BOKF, National Association",OK,Total Assets,50345105000.00000000000,USD,2025-03-31
BOM Bank,LA,Total Assets,1358525000.00000000000,USD,2025-03-31
BTC Bank,MO,Total Assets,1394240000.00000000000,USD,2025-03-31
Badger Bank,WI,Total Assets,197707000.00000000000,USD,2025-03-31
Baker-Boyer National Bank,WA,Total Assets,675907000.00000000000,USD,2025-03-31
Balboa Thrift and Loan Association,CA,Total Assets,416037000.00000000000,USD,2025-03-31
Ballston Spa National Bank,NY,Total Assets,898639000.00000000000,USD,2025-03-31
Banc of California,CA,Total Assets,33692415000.00000000000,USD,2025-03-31
BancFirst,OK,Total Assets,11760868000.00000000000,USD,2025-03-31
Banco Popular de Puerto Rico,PR,Total Assets,59140000000.00000000000,USD,2025-03-31
Banco do Brasil Americas,FL,Total Assets,3035260000.00000000000,USD,2025-03-31
Bandera Bank,TX,Total Assets,92849000.00000000000,USD,2025-03-31
Banesco USA,FL,Total Assets,4748519000.00000000000,USD,2025-03-31
Bangor Savings Bank,ME,Total Assets,7235355000.00000000000,USD,2025-03-31
Bank & Trust Company,IL,Total Assets,602303000.00000000000,USD,2025-03-31
Bank 1st,IA,Total Assets,163794000.00000000000,USD,2025-03-31
Bank 21,MO,Total Assets,172985000.00000000000,USD,2025-03-31
Bank 7,OK,Total Assets,1784463000.00000000000,USD,2025-03-31
"Bank First, N.A.",WI,Total Assets,4503954000.00000000000,USD,2025-03-31
Bank Five Nine,WI,Total Assets,2424391000.00000000000,USD,2025-03-31
Bank Forward,ND,Total Assets,1054000000.00000000000,USD,2025-03-31
Bank Independent,AL,Total Assets,2787828000.00000000000,USD,2025-03-31
Bank Iowa,IA,Total Assets,2158940000.00000000000,USD,2025-03-31
Bank Irvine,CA,Total Assets,243588000.00000000000,USD,2025-03-31
Bank Michigan,MI,Total Assets,132273000.00000000000,USD,2025-03-31
Bank Midwest,IA,Total Assets,1348818000.00000000000,USD,2025-03-31
Bank Northwest,MO,Total Assets,209727000.00000000000,USD,2025-03-31
Bank OZK,AR,Total Assets,39165415000.00000000000,USD,2025-03-31
Bank Of Clarke,VA,Total Assets,1904254000.00000000000,USD,2025-03-31
Bank Of Jackson Hole Trust,WY,Total Assets,41075000.00000000000,USD,2025-03-31
Bank Plus,IA,Total Assets,152545000.00000000000,USD,2025-03-31
Bank Rhode Island,RI,Total Assets,3403329000.00000000000,USD,2025-03-31
Bank Star,MO,Total Assets,190476000.00000000000,USD,2025-03-31
Bank of 1889,AR,Total Assets,301509000.00000000000,USD,2025-03-31
Bank of Abbeville & Trust Company,LA,Total Assets,221027000.00000000000,USD,2025-03-31
Bank of Alapaha,GA,Total Assets,238458000.00000000000,USD,2025-03-31
Bank of Alma,WI,Total Assets,322593000.00000000000,USD,2025-03-31
"Bank of America California, National Association",CA,Total Assets,16118000000.00000000000,USD,2025-03-31
"Bank of America, National Association",NC,Total Assets,2615296000000.00000000000,USD,2025-03-31
Bank of Anguilla,MS,Total Assets,202281000.00000000000,USD,2025-03-31
Bank of Ann Arbor,MI,Total Assets,3244258000.00000000000,USD,2025-03-31
Bank of Bartlett,TN,Total Assets,583451000.00000000000,USD,2025-03-31
Bank of Bearden,AR,Total Assets,59073000.00000000000,USD,2025-03-31
Bank of Belle Glade,FL,Total Assets,169808000.00000000000,USD,2025-03-31
Bank of Belleville,IL,Total Assets,475022000.00000000000,USD,2025-03-31
Bank of Billings,MO,Total Assets,96110000.00000000000,USD,2025-03-31
Bank of Bird-in-Hand,PA,Total Assets,1614930000.00000000000,USD,2025-03-31
Bank of Botetourt,VA,Total Assets,865386000.00000000000,USD,2025-03-31
Bank of Bozeman,MT,Total Assets,101025000.00000000000,USD,2025-03-31
Bank of Brewton,AL,Total Assets,46635000.00000000000,USD,2025-03-31
"Bank of Bridger, National Association",MT,Total Assets,771850000.00000000000,USD,2025-03-31
"Bank of Brookfield - Purdin, National Association",MO,Total Assets,114065000.00000000000,USD,2025-03-31
Bank of Brookhaven,MS,Total Assets,256014000.00000000000,USD,2025-03-31
Bank of Buffalo,KY,Total Assets,118708000.00000000000,USD,2025-03-31
Bank of Burlington,VT,Total Assets,273586000.00000000000,USD,2025-03-31
Bank of Cadiz and Trust Company,KY,Total Assets,140374000.00000000000,USD,2025-03-31
Bank of Calhoun County,IL,Total Assets,97318000.00000000000,USD,2025-03-31
Bank of Camilla,GA,Total Assets,172494000.00000000000,USD,2025-03-31
Bank of Cashton,WI,Total Assets,138485000.00000000000,USD,2025-03-31
Bank of Cattaraugus,NY,Total Assets,33751000.00000000000,USD,2025-03-31
Bank of Cave City,AR,Total Assets,195453000.00000000000,USD,2025-03-31
Bank of Central Florida,FL,Total Assets,1197066000.00000000000,USD,2025-03-31
Bank of Charles Town,WV,Total Assets,894916000.00000000000,USD,2025-03-31
Bank of Clarks,NE,Total Assets,56445000.00000000000,USD,2025-03-31
Bank of Clarkson,KY,Total Assets,166108000.00000000000,USD,2025-03-31
Bank of Cleveland,TN,Total Assets,379768000.00000000000,USD,2025-03-31
Bank of Colorado,CO,Total Assets,7277390000.00000000000,USD,2025-03-31
Bank of Columbia,KY,Total Assets,212986000.00000000000,USD,2025-03-31
Bank of Commerce,OK,Total Assets,188883000.00000000000,USD,2025-03-31
Bank of Commerce,WY,Total Assets,197776000.00000000000,USD,2025-03-31
Bank of Commerce,OK,Total Assets,366870000.00000000000,USD,2025-03-31
Bank of Commerce,KS,Total Assets,470321000.00000000000,USD,2025-03-31
Bank of Commerce,MS,Total Assets,983464000.00000000000,USD,2025-03-31
Bank of Commerce & Trust Co.,LA,Total Assets,361651000.00000000000,USD,2025-03-31
Bank of Commerce and Trust Company,KS,Total Assets,110768000.00000000000,USD,2025-03-31
Bank of Coushatta,LA,Total Assets,312368000.00000000000,USD,2025-03-31
Bank of Crocker,MO,Total Assets,144325000.00000000000,USD,2025-03-31
Bank of Crockett,TN,Total Assets,284530000.00000000000,USD,2025-03-31
Bank of Dade,GA,Total Assets,154233000.00000000000,USD,2025-03-31
Bank of Dawson,GA,Total Assets,158235000.00000000000,USD,2025-03-31
"Bank of DeSoto, National Association",TX,Total Assets,267104000.00000000000,USD,2025-03-31
Bank of Deerfield,WI,Total Assets,234121000.00000000000,USD,2025-03-31
Bank of Delight,AR,Total Assets,184298000.00000000000,USD,2025-03-31
Bank of Denton,KS,Total Assets,22484000.00000000000,USD,2025-03-31
Bank of Dickson,TN,Total Assets,284078000.00000000000,USD,2025-03-31
Bank of Dixon County,NE,Total Assets,127809000.00000000000,USD,2025-03-31
Bank of Dudley,GA,Total Assets,454940000.00000000000,USD,2025-03-31
Bank of Eastern Oregon,OR,Total Assets,897525000.00000000000,USD,2025-03-31
Bank of Easton,MA,Total Assets,210706000.00000000000,USD,2025-03-31
Bank of Edmonson County,KY,Total Assets,284983000.00000000000,USD,2025-03-31
Bank of Elgin,NE,Total Assets,77545000.00000000000,USD,2025-03-31
Bank of England,AR,Total Assets,347772000.00000000000,USD,2025-03-31
Bank of Erath,LA,Total Assets,109259000.00000000000,USD,2025-03-31
Bank of Estes Park,CO,Total Assets,153629000.00000000000,USD,2025-03-31
Bank of Eufaula,OK,Total Assets,95900000.00000000000,USD,2025-03-31
Bank of Evergreen,AL,Total Assets,75979000.00000000000,USD,2025-03-31
Bank of Farmington,IL,Total Assets,232914000.00000000000,USD,2025-03-31
Bank of Frankewing,TN,Total Assets,502997000.00000000000,USD,2025-03-31
Bank of Franklin,MS,Total Assets,243790000.00000000000,USD,2025-03-31
Bank of Franklin County,MO,Total Assets,422500000.00000000000,USD,2025-03-31
Bank of Gleason,TN,Total Assets,126616000.00000000000,USD,2025-03-31
Bank of Grand Lake,OK,Total Assets,252946000.00000000000,USD,2025-03-31
Bank of Grandin,MO,Total Assets,226469000.00000000000,USD,2025-03-31
Bank of Greeley,KS,Total Assets,49411000.00000000000,USD,2025-03-31
Bank of Greeleyville,SC,Total Assets,145399000.00000000000,USD,2025-03-31
Bank of Guam,GU,Total Assets,2727820000.00000000000,USD,2025-03-31
Bank of Gueydan,LA,Total Assets,71990000.00000000000,USD,2025-03-31
Bank of Halls,TN,Total Assets,140880000.00000000000,USD,2025-03-31
Bank of Hancock County,GA,Total Assets,85564000.00000000000,USD,2025-03-31
Bank of Hartington,NE,Total Assets,136028000.00000000000,USD,2025-03-31
Bank of Hawaii,HI,Total Assets,23852764000.00000000000,USD,2025-03-31
Bank of Hays,KS,Total Assets,364560000.00000000000,USD,2025-03-31
Bank of Hazelton,ND,Total Assets,64303000.00000000000,USD,2025-03-31
Bank of Hazlehurst,GA,Total Assets,131984000.00000000000,USD,2025-03-31
"Bank of Hillsboro, National Association",IL,Total Assets,646213000.00000000000,USD,2025-03-31
Bank of Hindman,KY,Total Assets,264625000.00000000000,USD,2025-03-31
Bank of Holland,NY,Total Assets,240617000.00000000000,USD,2025-03-31
Bank of Holly Springs,MS,Total Assets,587439000.00000000000,USD,2025-03-31
Bank of Holyrood,KS,Total Assets,66278000.00000000000,USD,2025-03-31
Bank of Hope,CA,Total Assets,17063123000.00000000000,USD,2025-03-31
Bank of Houston,TX,Total Assets,761698000.00000000000,USD,2025-03-31
Bank of Hydro,OK,Total Assets,173324000.00000000000,USD,2025-03-31
Bank of Iberia,MO,Total Assets,69438000.00000000000,USD,2025-03-31
Bank of Jamestown,KY,Total Assets,257600000.00000000000,USD,2025-03-31
Bank of Kampsville,IL,Total Assets,123592000.00000000000,USD,2025-03-31
Bank of Kilmichael,MS,Total Assets,321247000.00000000000,USD,2025-03-31
Bank of Labor,KS,Total Assets,1034136000.00000000000,USD,2025-03-31
Bank of Lake Mills,WI,Total Assets,493691000.00000000000,USD,2025-03-31
Bank of Lake Village,AR,Total Assets,84432000.00000000000,USD,2025-03-31
"Bank of Lexington, Inc.",KY,Total Assets,456968000.00000000000,USD,2025-03-31
